年,伝票日付,品名,区分,品番,数量,BLｺｰﾄﾞ,BLｸﾞﾙｰﾌﾟ,中分類コード,類別型式,車種,年式,車台No,型式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2017/8/25,ﾃ-ﾙﾗﾝﾌﾟASSY RH,売上,BBP3-51-150F,1,04301,6309,270,16284-0002,アクセラ,,,DBA-BL5FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/5/9,ﾊﾞｯﾃﾘ-FB ECHNO UB,売上,UB-S-95/D26L,1,07350,7350,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/9/12,ﾊﾞｯﾃﾘ-FB ECHNO UB,売上,UB-S-95/D26L,1,07350,7350,7500,17323-0003,セレナ,,061230,DAA-HC26-EDRARPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/6/28,ｸﾗｯﾁｶﾊﾞ-ASSY,売上,30210-40P05,1,00090,90,100,,フェアレディＺ,平成 9年 4月,563149,GCZ32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/5/2,ﾊﾞｯﾃﾘ-FB UB.ECHNO(S-95),売上,S-95/D26L,1,07350,7350,7500,16658-0002,セレナ,平成24年 4月,073073,DBA-FC26-EDRARGV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2016/6/27,ﾙｰﾌｷｬﾘｱ,売上,STR-444AH,1,99999,0,0,,ハイゼット,,,S200V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/7/16,ﾊﾞｯﾃﾘ-FB ECHNO UB,売上,UB-Q-85/D23L,1,07350,7350,7500,16673-0014,ラクティス,平成26年 8月,2064872,DBA-NCP120-CHXXK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2019/8/5,ﾊﾞｯﾃﾘ-FB ECHNO UB,売上,UB-Q-85/D23L,1,07350,7350,7500,,ラクティス,平成22年12月,2002691,DBA-NCP120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/4/19,ﾊﾟﾜ-ｳｲﾝﾄﾞ ｽｲﾂﾁ,売上,25401-3M100,1,99999,0,0,07805-0023,ラシーン,平成11年 2月,505266,E-RFNB14-TAWNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2018/10/12,"ﾐﾗ-ｱﾂｼ,ﾘﾔﾋﾞﾕ-,ﾗｲﾄ(ﾌﾞ",売上,84701-82K46-ZSK,1,00975,6205,240,16746-0006,ソリオ,,124141,DBA-MA15S-FBSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
